lat,lon
51.483,9.933
51.617,9.883
50.9833333333333,10.7833333333333
50.33,3.33
50.35,33.25
48.3,2.4
50.37,3.32
50.48,3.32
52.8,-6.9
43.7,10.3
50.47,5.2
50.38,4.34
50.34,5.15
43.1,-7.5
50.46,3.29
55.867,-3.183
37.8,-4.5
41.8,1.3
41.7,0.8
41.8,1.1
45.19,19.5
50.8,-4
60.8,23.5
50.1,14.3
37.6,13.5
40.4833333333333,-3.36666666666667
49.9,6.6
48.5716666666667,8.54638888888889
51.168322,13.177108
43.5,13
46.4,6.217
49.8,15.5
48.0833333333333,9.8
49.45,8.63333333333333
48.5333333333333,8.53333333333333
49.6333333333333,7.56666666666667
48.1333333333333,9.36666666666667
49.6333333333333,9.73333333333333
48.3666666666667,8.96666666666667
49.2166666666667,9.53333333333333
49.1833333333333,9.08333333333333
48.2833333333333,8.63333333333333
49.0833333333333,8.2
49.45,9.98333333333333
