lat_deg,lon_deg
46,2
40.4637,-3.7492
42.9896,-2.6189
48.33,2.38
54.901,9.152
52.015,-0.596
50.619,6.994
50.962,3.754
43.527,1.501
55.471,9.111
50.393,8.192
48.05,-4.067
48.933,4.233
55.47,9.19
57.183,-2.25
51.394,11.878
51.393,11.878
55.84,-3.173
55.842,-3.13
52.539,5.562
52.986,6.647
51.624,5.012
55.318,11.388
50.563,4.713
45.819,5.034
48.738,9.201
48.572,8.546
49.033,8.05
49.05,9.082
49.05,9.083
51.1657,10.4515
54.9,9.125
43.956,15.5592
38.8794,-6.9707
52.1013,12.6632
56.2639,9.5018
51.0495,13.1892
58.35,13.1333
55.6667,13.1167
60.472,8.4689
55.1694,23.8813
60.1282,18.6435
46.2276,2.2137
45.764,4.8357
48.7154,9.217
55.6667,12.3
58.378,26.729
48.1833,16.5167
42.4167,12.0667
55.3667,12.0833
41.6097,2.1714
60.8,23.4833
60.2167,25.0333
60.2167,25.0167
60.2833,22.3833
46.8181,8.2275
41.905,12.4675
38.9636,35.2433
55.1694,23.8814
44.0164,21.0058
52.3553,-1.1742
40.4303,-3.7492
45.9431,24.9667
55.3781,-3.4358
45.1,15.2
47.1625,19.5033
60.4719,8.4689
51.1656,10.4514
46.6034,1.8883
40.4637,-3.7122
61.524,105.3194
39.0742,21.8243
51.9194,19.1451
46.8182,8.2275
41.8719,12.5674
49.8175,15.4729
47.5162,14.5501
45.9432,24.9668
38.9637,35.2433
55.3781,-3.4229
40.4333,-3.7
44.7833,20.4833
51.15,17.0167
51.9167,15.9333
53.4,16.5667
51.8167,19.4333
53.4333,14.55
52.2333,21.0167
41.9,12.4833
51.2667,6.75
56.15,10.2167
51.2667,10.75
52.2167,21.0167
39,21.75
64,26
45.9333,24.1833
51.9333,19.35
50.85,4.35
46.85,8.2333
51.17,0.93
38.58,21.42
50.62,3.57
48.73,8.93
51.65,-1.64
41.8,1.12
41.82,1.28
48.15,1.15
41.89,12.21
50.99,-1.44
51.05,-1.59
43.53,13.37
41.47,15.53
45.83,17.43
49.31,17.09
45.83,18.63
45.53,18.73
45.55,17.03
40.63,22.8
37.77,-4.52
37.28,-6.05
43.67,10.32
46.77,26.6
51.03,17.35
38.37,23.11
46.83,20.92
53.37,13.8
19.52,-98.83
44.87,20.33
45.53,17.98
41.8,1.1167
41.5,0.1333
41.767,1.267
41.7667,1.2667
59.9,17
59.8,17.6667
55.9333,-3.2167
52.4167,16.9
45.9167,17.0167
46.4,6.2333
45.05,11.8833
51.65,-1.65
56.4833,9.5833
44.45,26.5167
48.75,21.9167
45,9.7
52.5833,0.8667
46.5667,23.7833
48.1167,9.0333
52.5167,15.1167
52.85,14.1167
41.1667,0.8333
41.1833,-0.45
41.85,-0.7833
42.1833,-0.45
37.7,-5.3333
64.6667,25.0833
37.7667,-4.5167
56.4667,-3.0833
36.1833,37.55
45.6333,12.7667
46.05,13.35
44.7167,10.7667
45.2167,8.1333
34.5,113
50.6333,17.85
45.2,9.6833
56.5,9.5667
60.7,10.85
59.6667,10.6667
42,21.45
52.2297,21.0122
53.0814,17.8644
40.4636,-3.7492
40.463611,-3.749167
51.165556,10.451389
54.7024,-3.2766
53.16,18.48
52.33,1.14
51.92,19.15
54.22,20.68
55.38,-3.43
52.11,-0.46
